TTL	Estimated OS	Packet Range
64	Linux	1-22
	Unknown	23-24
64	Linux	25-44
118	IoT Device or Specialized Equipment	45-46
64	Linux	47-50
119	Networking Equipment (Router/Switch)	51-52
64	Linux	53-54
119	Networking Equipment (Router/Switch)	55-55
45	Mobile Hotspot	56-56
64	Linux	57-60
46	Low-End IoT Device	61-61
64	Linux	62-62
119	Networking Equipment (Router/Switch)	63-63
64	Linux	64-65
119	Networking Equipment (Router/Switch)	66-67
64	Linux	68-71
119	Networking Equipment (Router/Switch)	72-73
64	Linux	74-75
46	Low-End IoT Device	76-76
64	Linux	77-77
55	Smart IoT Device	78-78
118	IoT Device or Specialized Equipment	79-79
64	Linux	80-81
56	Android Device	82-82
45	Mobile Hotspot	83-84
64	Linux	85-85
118	IoT Device or Specialized Equipment	86-86
55	Smart IoT Device	87-87
64	Linux	88-88
56	Android Device	89-90
64	Linux	91-94
56	Android Device	95-95
64	Linux	96-99
56	Android Device	100-103
64	Linux	104-110
118	IoT Device or Specialized Equipment	111-113
64	Linux	114-116
109	Data Center Equipment	117-118
64	Linux	119-119
119	Networking Equipment (Router/Switch)	120-124
64	Linux	125-127
55	Smart IoT Device	128-128
119	Networking Equipment (Router/Switch)	129-129
64	Linux	130-131
55	Smart IoT Device	132-134
64	Linux	135-139
110	BSD Variant	140-141
64	Linux	142-143
55	Smart IoT Device	144-145
110	BSD Variant	146-146
120	Specialized Device (Unknown)	147-147
64	Linux	148-150
58	Android Hotspot	151-153
64	Linux	154-159
	Unknown	160-161
64	Linux	162-163
58	Android Hotspot	164-165
64	Linux	166-166
58	Android Hotspot	167-170
64	Linux	171-173
119	Networking Equipment (Router/Switch)	174-174
55	Smart IoT Device	175-175
64	Linux	176-178
58	Android Hotspot	179-180
64	Linux	181-189
58	Android Hotspot	190-191
64	Linux	192-192
58	Android Hotspot	193-193
64	Linux	194-198
58	Android Hotspot	199-200
64	Linux	201-201
58	Android Hotspot	202-205
56	Android Device	206-206
58	Android Hotspot	207-207
64	Linux	208-212
58	Android Hotspot	213-216
119	Networking Equipment (Router/Switch)	217-217
55	Smart IoT Device	218-218
46	Low-End IoT Device	219-220
64	Linux	221-223
119	Networking Equipment (Router/Switch)	224-224
58	Android Hotspot	225-225
64	Linux	226-228
58	Android Hotspot	229-233
64	Linux	234-235
58	Android Hotspot	236-236
119	Networking Equipment (Router/Switch)	237-237
64	Linux	238-240
109	Data Center Equipment	241-241
64	Linux	242-242
58	Android Hotspot	243-246
64	Linux	247-247
119	Networking Equipment (Router/Switch)	248-248
58	Android Hotspot	249-249
56	Android Device	250-250
64	Linux	251-252
56	Android Device	253-254
64	Linux	255-258
55	Smart IoT Device	259-259
119	Networking Equipment (Router/Switch)	260-260
64	Linux	261-268
55	Smart IoT Device	269-275
64	Linux	276-278
118	IoT Device or Specialized Equipment	279-284
56	Android Device	285-286
64	Linux	287-288
56	Android Device	289-289
64	Linux	290-291
55	Smart IoT Device	292-292
118	IoT Device or Specialized Equipment	293-293
46	Low-End IoT Device	294-295
64	Linux	296-299
58	Android Hotspot	300-300
118	IoT Device or Specialized Equipment	301-303
64	Linux	304-305
58	Android Hotspot	306-306
64	Linux	307-307
55	Smart IoT Device	308-308
64	Linux	309-310
55	Smart IoT Device	311-311
118	IoT Device or Specialized Equipment	312-312
64	Linux	313-313
119	Networking Equipment (Router/Switch)	314-314
64	Linux	315-316
120	Specialized Device (Unknown)	317-318
64	Linux	319-319
119	Networking Equipment (Router/Switch)	320-320
56	Android Device	321-321
64	Linux	322-325
55	Smart IoT Device	326-326
56	Android Device	327-327
119	Networking Equipment (Router/Switch)	328-328
64	Linux	329-329
119	Networking Equipment (Router/Switch)	330-331
64	Linux	332-334
120	Specialized Device (Unknown)	335-335
64	Linux	336-339
56	Android Device	340-341
64	Linux	342-343
119	Networking Equipment (Router/Switch)	344-344
64	Linux	345-345
55	Smart IoT Device	346-346
120	Specialized Device (Unknown)	347-348
64	Linux	349-349
120	Specialized Device (Unknown)	350-351
64	Linux	352-355
55	Smart IoT Device	356-356
64	Linux	357-357
110	BSD Variant	358-358
64	Linux	359-359
56	Android Device	360-361
64	Linux	362-364
120	Specialized Device (Unknown)	365-365
64	Linux	366-367
55	Smart IoT Device	368-368
64	Linux	369-372
119	Networking Equipment (Router/Switch)	373-376
120	Specialized Device (Unknown)	377-379
119	Networking Equipment (Router/Switch)	380-380
64	Linux	381-384
120	Specialized Device (Unknown)	385-386
64	Linux	387-392
55	Smart IoT Device	393-394
64	Linux	395-395
56	Android Device	396-397
64	Linux	398-401
119	Networking Equipment (Router/Switch)	402-402
118	IoT Device or Specialized Equipment	403-403
120	Specialized Device (Unknown)	404-404
64	Linux	405-406
55	Smart IoT Device	407-407
64	Linux	408-409
119	Networking Equipment (Router/Switch)	410-413
64	Linux	414-423
55	Smart IoT Device	424-424
120	Specialized Device (Unknown)	425-425
118	IoT Device or Specialized Equipment	426-426
120	Specialized Device (Unknown)	427-430
119	Networking Equipment (Router/Switch)	431-431
56	Android Device	432-432
64	Linux	433-433
118	IoT Device or Specialized Equipment	434-434
64	Linux	435-436
120	Specialized Device (Unknown)	437-439
118	IoT Device or Specialized Equipment	440-440
55	Smart IoT Device	441-441
64	Linux	442-445
56	Android Device	446-449
64	Linux	450-453
118	IoT Device or Specialized Equipment	454-455
107	High-End Router	456-456
64	Linux	457-459
56	Android Device	460-460
64	Linux	461-462
56	Android Device	463-467
64	Linux	468-472
119	Networking Equipment (Router/Switch)	473-473
56	Android Device	474-474
119	Networking Equipment (Router/Switch)	475-476
56	Android Device	477-477
64	Linux	478-483
45	Mobile Hotspot	484-484
46	Low-End IoT Device	485-486
56	Android Device	487-487
64	Linux	488-490
119	Networking Equipment (Router/Switch)	491-492
56	Android Device	493-497
64	Linux	498-500
56	Android Device	501-501
64	Linux	502-506
56	Android Device	507-511
64	Linux	512-512
56	Android Device	513-513
64	Linux	514-514
56	Android Device	515-515
64	Linux	516-517
56	Android Device	518-518
64	Linux	519-521
119	Networking Equipment (Router/Switch)	522-522
56	Android Device	523-524
64	Linux	525-527
56	Android Device	528-528
64	Linux	529-534
56	Android Device	535-538
64	Linux	539-542
56	Android Device	543-546
